timestamp,face_count,fps
00:04:25,1,14.1
00:04:25,1,51.3
00:04:25,1,49.7
00:04:25,1,48.9
00:04:25,1,54.9
00:04:25,1,52.2
00:04:25,1,53.4
00:04:25,1,50.9
00:04:25,1,55.5
00:04:25,1,55.8
00:04:25,1,55.9
00:04:25,1,53.7
00:04:25,1,51.7
00:04:25,1,51.4
00:04:25,1,51.5
00:04:26,1,55.7
00:04:26,1,48.8
00:04:26,1,50.4
00:04:26,1,46.8
00:04:26,1,47.7
00:04:26,1,48.0
00:04:26,1,34.6
00:04:26,1,46.5
00:04:26,1,45.6
00:04:26,1,44.4
00:04:26,1,52.5
00:04:26,1,47.3
00:04:26,1,43.7
00:04:26,1,46.8
00:04:26,1,49.5
00:04:26,1,49.6
00:04:26,1,45.3
00:04:26,1,45.8
00:04:26,1,43.7
00:04:26,1,44.7
00:04:26,1,46.4
00:04:26,1,47.6
00:04:26,1,46.1
00:04:26,1,50.1
00:04:26,1,47.6
00:04:26,1,45.9
00:04:26,1,46.1
00:04:26,1,49.5
00:04:26,1,45.0
00:04:27,1,45.9
00:04:27,1,45.2
00:04:27,1,48.3
00:04:27,1,43.5
00:04:27,1,49.3
00:04:27,1,43.3
00:04:27,1,42.2
00:04:27,1,47.4
00:04:27,1,45.3
00:04:27,1,40.1
00:04:27,1,45.5
00:04:27,1,44.5
00:04:27,1,44.3
00:04:27,1,44.5
00:04:27,1,44.8
00:04:27,1,44.3
00:04:27,1,46.5
00:04:27,1,43.0
00:04:27,1,43.1
00:04:27,1,46.2
00:04:27,1,42.2
00:04:27,1,43.4
00:04:27,1,48.3
00:04:27,1,49.2
00:04:27,1,44.5
00:04:27,1,47.9
00:04:27,1,48.2
00:04:27,1,47.8
00:04:27,1,43.2
00:04:28,1,42.9
00:04:28,1,46.9
00:04:28,1,44.8
00:04:28,1,45.9
00:04:28,1,44.9
00:04:28,1,40.8
00:04:28,1,46.4
00:04:28,1,44.0
00:04:28,1,45.4
00:04:28,1,43.3
00:04:28,1,40.8
00:04:28,1,44.3
00:04:28,1,45.9
00:04:28,1,43.1
00:04:28,1,44.1
00:04:28,1,46.8
00:04:28,1,43.6
00:04:28,1,43.8
00:04:28,1,46.2
00:04:28,1,51.8
00:04:28,1,50.5
00:04:28,1,48.6
00:04:28,1,51.0
00:04:28,1,57.2
00:04:28,1,52.1
00:04:28,1,52.7
00:04:28,1,52.4
00:04:28,1,51.2
00:04:28,1,46.5
00:04:28,1,46.5
00:04:28,1,48.4
00:04:29,1,49.0
00:04:29,1,48.1
00:04:29,1,52.1
00:04:29,1,51.1
00:04:29,1,50.9
00:04:29,1,47.2
00:04:29,1,54.8
00:04:29,1,53.7
00:04:29,1,56.7
00:04:29,1,52.4
00:04:29,1,48.0
00:04:29,1,47.5
00:04:29,1,46.9
00:04:29,1,42.0
00:04:29,1,46.2
00:04:29,1,39.6
00:04:29,1,43.4
00:04:29,1,45.1
00:04:29,1,43.3
00:04:29,1,45.7
00:04:29,1,42.0
00:04:29,1,43.6
00:04:29,1,41.9
00:04:29,1,47.0
00:04:29,1,46.4
00:04:29,1,48.0
00:04:29,1,48.2
00:04:29,1,48.8
00:04:29,1,46.5
00:04:29,1,45.5
00:04:30,1,50.5
00:04:30,1,44.1
00:04:30,1,48.4
00:04:30,1,48.1
00:04:30,1,41.0
00:04:30,1,44.0
00:04:30,1,38.3
00:04:30,1,41.5
00:04:30,1,42.1
00:04:30,1,40.8
00:04:30,1,50.1
00:04:30,1,49.0
00:04:30,1,50.3
00:04:30,1,51.2
00:04:30,1,51.0
00:04:30,1,50.8
00:04:30,1,45.9
00:04:30,1,27.2
00:04:30,1,25.4
00:04:30,1,26.9
00:04:30,1,31.8
00:04:30,1,31.1
00:04:30,1,26.3
00:04:30,1,27.8
00:04:30,1,26.2
00:04:31,1,28.5
00:04:31,1,27.2
00:04:31,1,27.4
00:04:31,1,27.7
00:04:31,1,32.3
00:04:31,1,31.2
00:04:31,1,28.9
00:04:31,1,29.5
00:04:31,1,29.4
00:04:31,1,26.3
00:04:31,1,27.1
00:04:31,1,30.4
00:04:31,1,27.0
00:04:31,1,28.9
00:04:31,1,27.9
00:04:31,1,29.7
00:04:31,1,31.4
00:04:32,1,26.1
00:04:32,1,29.9
00:04:32,1,43.8
00:04:32,1,27.0
00:04:32,1,26.3
00:04:32,1,28.3
00:04:32,1,40.1
00:04:32,1,30.3
00:04:32,1,26.1
00:04:32,1,29.8
00:04:32,1,28.4
00:04:32,1,27.8
00:04:32,1,28.0
00:04:32,1,31.0
00:04:32,1,27.7
00:04:32,1,30.9
00:04:32,1,33.3
00:04:32,1,33.2
00:04:33,1,30.8
00:04:33,1,32.6
00:04:33,1,26.3
00:04:33,1,27.7
00:04:33,1,27.0
00:04:33,1,27.9
00:04:33,1,29.2
00:04:33,1,28.6
00:04:33,1,32.1
00:04:33,1,28.2
00:04:33,1,30.2
00:04:33,1,31.2
00:04:33,1,25.6
00:04:33,1,30.3
00:04:33,1,28.2
00:04:33,1,30.0
00:04:33,1,26.4
00:04:33,1,29.4
00:04:33,1,31.6
00:04:34,1,31.5
00:04:34,1,30.4
00:04:34,1,29.4
00:04:34,1,29.6
00:04:34,1,28.2
00:04:34,1,35.0
00:04:34,1,29.3
00:04:34,1,32.0
00:04:34,1,24.0
00:04:34,1,24.6
00:04:34,1,25.0
00:04:34,1,26.6
00:04:34,1,24.8
00:04:34,1,24.1
00:04:34,1,26.5
00:04:34,1,24.7
00:04:34,1,24.6
00:04:34,1,24.9
00:04:35,1,26.0
00:04:35,1,24.6
00:04:35,1,24.4
00:04:35,1,26.9
00:04:35,1,28.2
00:04:35,1,26.2
00:04:35,1,26.5
00:04:35,1,25.8
00:04:35,1,28.4
00:04:35,1,24.4
00:04:35,1,38.4
00:04:35,1,23.8
00:04:35,1,25.5
00:04:35,1,24.2
00:04:35,1,25.4
00:04:35,1,26.0
00:04:35,1,24.2
00:04:35,1,25.4
00:04:35,1,32.5
00:04:35,1,25.6
00:04:36,1,24.3
00:04:36,1,24.6
00:04:36,1,23.0
